"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041115	"HOU@BRK"	"HOU"	240	5	10	5	29	22	10	6	12	26	80	-1
20041115	"HOU@BRK"	"BRK"	240	2	10	18	35	12	4	8	19	24	69	1
20041116	"UTZ@CHA"	"UTZ"	240	2	6	10	27	26	7	6	13	34	107	-1
20041116	"UTZ@CHA"	"CHA"	240	3	9	7	20	23	5	6	19	34	105	1
20041116	"OKC@PHI"	"OKC"	240	18	39	10	29	25	8	1	21	23	103	-1
20041116	"OKC@PHI"	"PHI"	240	6	22	10	28	21	11	2	16	22	95	1
20041116	"HOU@ATL"	"HOU"	240	3	21	4	33	19	9	4	18	21	84	-1
20041116	"HOU@ATL"	"ATL"	240	2	10	9	31	21	9	2	16	14	88	1
20041116	"MIA@MIN"	"MIA"	240	4	13	13	29	17	4	7	13	24	97	-1
20041116	"MIA@MIN"	"MIN"	240	6	13	19	30	22	7	1	10	23	108	1
20041116	"PHX@DAL"	"PHX"	240	7	27	15	39	28	5	4	20	20	107	-1
20041116	"PHX@DAL"	"DAL"	240	3	14	15	29	15	11	6	8	23	101	1
20041116	"NYK@SAS"	"NYK"	240	4	10	9	26	14	7	1	16	25	81	-1
20041116	"NYK@SAS"	"SAS"	240	6	21	8	34	25	10	5	15	16	99	1
20041116	"CHI@SAC"	"CHI"	240	12	24	20	32	19	7	2	18	28	106	-1
20041116	"CHI@SAC"	"SAC"	240	11	26	9	31	24	9	1	12	18	113	1
20041116	"TOR@LAC"	"TOR"	240	4	17	17	23	14	11	1	21	22	89	-1
20041116	"TOR@LAC"	"LAC"	240	5	7	10	24	26	10	9	23	20	101	1
20041117	"ATL@IND"	"ATL"	240	6	17	11	25	20	12	4	12	28	86	-1
20041117	"ATL@IND"	"IND"	240	6	14	12	35	20	7	6	18	23	93	1
20041117	"UTZ@ORL"	"UTZ"	240	0	8	12	31	23	7	8	16	27	92	-1
20041117	"UTZ@ORL"	"ORL"	240	4	9	12	32	20	6	9	14	19	107	1
20041117	"BOS@WAS"	"BOS"	265	5	14	14	29	20	7	8	14	28	105	-1
20041117	"BOS@WAS"	"WAS"	265	6	18	21	29	23	11	8	17	32	110	1
20041117	"OKC@BRK"	"OKC"	240	5	15	7	26	12	9	2	13	23	79	-1
20041117	"OKC@BRK"	"BRK"	240	0	7	7	30	9	4	4	23	29	68	1
20041117	"MIN@DET"	"MIN"	240	5	15	8	31	20	5	5	17	23	85	-1
20041117	"MIN@DET"	"DET"	240	4	14	8	31	23	11	5	10	21	93	1
20041117	"PHX@NOP"	"PHX"	240	6	14	8	25	22	7	7	11	10	95	-1
20041117	"PHX@NOP"	"NOP"	240	2	15	22	25	27	3	5	13	17	84	1
20041117	"TOR@DEN"	"TOR"	240	6	22	17	27	18	7	4	15	29	106	-1
20041117	"TOR@DEN"	"DEN"	240	2	8	17	27	25	7	8	15	27	112	1
20041117	"MIA@MIL"	"MIA"	240	5	16	8	33	23	5	7	16	24	113	-1
20041117	"MIA@MIL"	"MIL"	240	6	9	6	22	23	7	3	10	37	106	1
20041117	"MEM@POR"	"MEM"	240	7	13	10	29	32	5	5	19	26	101	-1
20041117	"MEM@POR"	"POR"	240	2	9	11	18	18	10	8	15	21	82	1
20041117	"CHI@GSW"	"CHI"	240	7	21	11	30	26	11	2	24	25	85	-1
20041117	"CHI@GSW"	"GSW"	240	10	21	13	33	25	10	6	23	25	98	1
20041117	"LAC@LAL"	"LAC"	240	4	12	16	24	23	7	3	16	23	89	-1
20041117	"LAC@LAL"	"LAL"	240	5	16	7	30	24	11	8	14	15	103	1
20041118	"CLE@CHA"	"CLE"	240	6	8	10	31	29	7	7	14	30	106	-1
20041118	"CLE@CHA"	"CHA"	240	1	6	16	23	22	10	5	13	20	89	1
20041118	"SAS@PHI"	"SAS"	240	4	15	18	32	26	8	5	18	22	88	-1
20041118	"SAS@PHI"	"PHI"	240	4	8	12	30	16	8	3	16	27	80	1
20041118	"NYK@HOU"	"NYK"	240	7	23	14	36	27	6	1	8	17	93	-1
20041118	"NYK@HOU"	"HOU"	240	4	15	8	33	26	6	4	7	17	92	1
20041119	"OKC@TOR"	"OKC"	240	10	19	11	33	22	8	2	13	22	101	-1
20041119	"OKC@TOR"	"TOR"	240	7	20	9	25	20	9	4	15	26	94	1
20041119	"SAS@BOS"	"SAS"	240	8	21	4	25	27	7	8	12	21	92	-1
20041119	"SAS@BOS"	"BOS"	240	3	11	12	32	18	5	2	14	22	84	1
20041119	"UTZ@MIA"	"UTZ"	265	3	6	11	41	19	4	5	18	33	105	-1
20041119	"UTZ@MIA"	"MIA"	265	7	17	12	29	21	9	9	8	35	107	1
20041119	"IND@DET"	"IND"	240	9	20	9	28	19	15	1	10	21	97	-1
20041119	"IND@DET"	"DET"	240	4	16	12	30	17	4	7	15	22	82	1
20041119	"NYK@DAL"	"NYK"	240	8	25	11	31	20	7	6	13	23	101	-1
20041119	"NYK@DAL"	"DAL"	240	2	13	14	32	15	7	4	13	16	103	1
20041119	"CHI@DEN"	"CHI"	240	3	14	6	33	23	5	2	22	28	81	-1
20041119	"CHI@DEN"	"DEN"	240	5	15	4	34	19	10	5	16	25	99	1
20041119	"LAL@PHX"	"LAL"	240	14	25	13	34	17	2	4	13	22	102	-1
20041119	"LAL@PHX"	"PHX"	240	7	28	15	29	24	2	7	6	17	107	1
20041119	"MIL@POR"	"MIL"	240	2	11	18	21	22	10	0	17	27	98	-1
20041119	"MIL@POR"	"POR"	240	10	18	20	32	20	12	3	21	27	110	1
20041119	"MEM@SAC"	"MEM"	240	9	21	11	34	19	3	3	19	28	105	-1
20041119	"MEM@SAC"	"SAC"	240	5	17	8	23	28	9	5	9	24	107	1
20041120	"HOU@LAC"	"HOU"	265	5	21	12	35	18	3	2	17	25	91	-1
20041120	"HOU@LAC"	"LAC"	265	2	8	5	30	21	11	5	13	27	86	1
20041120	"UTZ@ATL"	"UTZ"	240	3	10	14	32	25	2	10	16	17	92	-1
20041120	"UTZ@ATL"	"ATL"	240	5	17	17	20	16	7	5	10	28	79	1
20041120	"CHA@CLE"	"CHA"	240	5	10	19	25	15	9	6	16	24	84	-1
20041120	"CHA@CLE"	"CLE"	240	3	7	17	33	21	9	9	18	21	100	1
20041120	"WAS@BRK"	"WAS"	240	6	14	11	23	15	10	3	10	22	97	-1
20041120	"WAS@BRK"	"BRK"	240	2	7	11	26	15	6	8	16	25	86	1
20041120	"ORL@IND"	"ORL"	240	3	13	16	26	17	5	6	17	19	86	-1
20041120	"ORL@IND"	"IND"	240	5	16	6	26	8	10	6	14	20	83	1
20041120	"MIN@NOP"	"MIN"	240	6	16	11	23	26	7	3	8	16	99	-1
20041120	"MIN@NOP"	"NOP"	240	7	18	13	25	24	4	2	14	18	94	1
20041120	"MEM@GSW"	"MEM"	240	7	17	12	39	21	11	4	19	26	100	-1
20041120	"MEM@GSW"	"GSW"	240	3	20	9	27	21	13	3	16	32	87	1
20041121	"SAS@TOR"	"SAS"	240	6	23	17	28	21	4	5	10	20	91	-1
20041121	"SAS@TOR"	"TOR"	240	5	13	12	27	20	7	5	12	26	96	1
20041121	"PHX@LAC"	"PHX"	240	11	19	11	23	27	9	9	13	21	122	-1
20041121	"PHX@LAC"	"LAC"	240	3	8	16	26	26	7	2	16	28	111	1
20041121	"OKC@BOS"	"OKC"	240	5	23	10	19	20	11	2	14	24	83	-1
20041121	"OKC@BOS"	"BOS"	240	5	10	9	34	24	10	8	21	22	102	1
